algo,reward,seed,flow,cycle_num,queue_length
dqn,wait-clip,s123,low,10,0.5882352941176471
dqn,wait-clip,s123,low,11,1.1538461538461537
dqn,wait-clip,s123,low,12,1.0
dqn,wait-clip,s123,low,13,1.9411764705882353
dqn,wait-clip,s123,low,14,1.125
dqn,wait-clip,s123,low,15,1.1666666666666667
dqn,wait-clip,s123,low,16,1.4166666666666667
dqn,wait-clip,s123,low,17,0.8666666666666667
dqn,wait-clip,s123,low,18,1.2307692307692308
dqn,wait-clip,s123,low,19,2.2
dqn,wait-clip,s123,low,20,0.875
dqn,wait-clip,s123,low,21,1.3076923076923077
dqn,wait-clip,s123,low,22,0.8461538461538461
dqn,wait-clip,s123,low,23,1.5
dqn,wait-clip,s123,low,24,1.7333333333333334
dqn,wait-clip,s123,low,25,0.9375
dqn,wait-clip,s123,low,26,1.1538461538461537
dqn,wait-clip,s123,low,27,2.0
dqn,wait-clip,s123,low,28,1.875
dqn,wait-clip,s123,low,29,1.5625
dqn,wait-clip,s123,low,30,1.5
dqn,wait-clip,s123,low,31,0.8571428571428571
dqn,wait-clip,s123,low,32,1.3636363636363635
dqn,wait-clip,s123,low,33,1.7647058823529411
dqn,wait-clip,s123,low,34,0.9230769230769231
dqn,wait-clip,s123,low,35,0.36363636363636365
dqn,wait-clip,s123,low,36,0.7333333333333333
dqn,wait-clip,s123,low,37,0.5333333333333333
dqn,wait-clip,s123,low,38,0.5333333333333333
dqn,wait-clip,s123,low,39,1.2666666666666666
dqn,wait-clip,s123,low,40,1.0
dqn,wait-clip,s123,low,41,0.26666666666666666
dqn,wait-clip,s123,low,42,0.7857142857142857
dqn,wait-clip,s123,low,43,0.5625
dqn,wait-clip,s123,low,44,0.6428571428571429
dqn,wait-clip,s123,low,45,1.2666666666666666
dqn,wait-clip,s123,low,46,0.8125
dqn,wait-clip,s123,low,47,0.8125
dqn,wait-clip,s123,low,48,1.9285714285714286
dqn,wait-clip,s123,low,49,2.0714285714285716
dqn,wait-clip,s123,low,50,1.5384615384615385
dqn,wait-clip,s123,low,51,1.5333333333333334
dqn,wait-clip,s123,low,52,1.1428571428571428
dqn,wait-clip,s123,low,53,1.4285714285714286
dqn,wait-clip,s123,low,54,1.8125
dqn,wait-clip,s123,low,55,1.2222222222222223
dqn,wait-clip,s42,high,0,1.5
dqn,wait-clip,s42,high,1,3.6153846153846154
dqn,wait-clip,s42,high,2,3.7333333333333334
dqn,wait-clip,s42,high,3,3.5833333333333335
dqn,wait-clip,s42,high,4,4.285714285714286
dqn,wait-clip,s42,high,5,3.090909090909091
dqn,wait-clip,s42,high,6,3.0
dqn,wait-clip,s42,high,7,4.0
dqn,wait-clip,s42,high,8,6.090909090909091
dqn,wait-clip,s42,high,9,3.0
dqn,wait-clip,s42,high,10,5.545454545454546
dqn,wait-clip,s42,high,11,3.6153846153846154
dqn,wait-clip,s42,high,12,3.6666666666666665
dqn,wait-clip,s42,high,13,3.272727272727273
dqn,wait-clip,s42,high,14,4.153846153846154
dqn,wait-clip,s42,high,15,4.384615384615385
dqn,wait-clip,s42,high,16,5.0
dqn,wait-clip,s42,high,17,4.090909090909091
dqn,wait-clip,s42,high,18,3.1818181818181817
dqn,wait-clip,s42,high,19,3.4615384615384617
dqn,wait-clip,s42,high,20,4.769230769230769
dqn,wait-clip,s42,high,21,4.5
dqn,wait-clip,s42,high,22,3.6
dqn,wait-clip,s42,high,23,3.642857142857143
dqn,wait-clip,s42,high,24,3.769230769230769
dqn,wait-clip,s42,high,25,4.153846153846154
dqn,wait-clip,s42,high,26,5.2727272727272725
dqn,wait-clip,s42,high,27,5.666666666666667
